Respondent,Brand,Price,Speed,Wireless
1,0.305905131,0.31945789,0.300096805,0.074540174
2,0.197994987,0.195488722,0.205513784,0.401002506
3,0.198529412,0.208333333,0.196078431,0.397058824
4,0.306796117,0.308737864,0.310679612,0.073786408
5,0.125166445,0.532623169,0.226364847,0.115845539
6,0.313649564,0.311713456,0.303969022,0.070667957
7,0.112600536,0.560321716,0.206434316,0.120643432
8,0.20906801,0.188916877,0.201511335,0.400503778
9,0.115168539,0.547752809,0.22752809,0.109550562
10,0.306542056,0.314018692,0.300934579,0.078504673
11,0.121212121,0.553719008,0.20661157,0.1184573
12,0.122222222,0.558333333,0.222222222,0.097222222
13,0.193877551,0.204081633,0.209183673,0.392857143
14,0.312977099,0.305343511,0.303435115,0.078244275
15,0.111731844,0.572625698,0.220670391,0.094972067
16,0.189290162,0.214196762,0.214196762,0.382316314
17,0.117166213,0.553133515,0.223433243,0.10626703
18,0.299618321,0.309160305,0.314885496,0.076335878
19,0.317335945,0.311459354,0.291870715,0.079333986
20,0.297142857,0.306666667,0.316190476,0.08
21,0.125511596,0.545702592,0.207366985,0.121418827
22,0.199494949,0.189393939,0.202020202,0.409090909
23,0.146835443,0.42278481,0.270886076,0.159493671
24,0.098452883,0.548523207,0.23347398,0.11954993
25,0.201005025,0.201005025,0.195979899,0.40201005
26,0.31047619,0.312380952,0.300952381,0.076190476
27,0.121212121,0.556473829,0.212121212,0.110192837
28,0.112676056,0.56056338,0.225352113,0.101408451
29,0.101265823,0.554149086,0.213783404,0.130801688
30,0.108938547,0.539106145,0.223463687,0.12849162
31,0.210918114,0.200992556,0.196029777,0.392059553
32,0.190942472,0.212974296,0.203182375,0.392900857
33,0.11814346,0.556962025,0.216596343,0.108298172
34,0.304471931,0.31018078,0.306374881,0.078972407
35,0.111869031,0.553888131,0.204638472,0.129604366
